"","X.1","X","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","schoolsup","famsup","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","failures","paid","absences","G1","G2","G3","alc_use","high_use","FALSE."
"1",1,1,"GP","F",18,"U","GT3","A",4,4,"at_home","teacher","course","mother",2,2,"yes","no","no","yes","yes","no","no",4,3,4,1,1,3,0,"no",5,2,8,8,1,FALSE,FALSE
"2",2,2,"GP","F",17,"U","GT3","T",1,1,"at_home","other","course","father",1,2,"no","yes","no","no","yes","yes","no",5,3,3,1,1,3,0,"no",3,7,8,8,1,FALSE,FALSE
"3",3,3,"GP","F",15,"U","LE3","T",1,1,"at_home","other","other","mother",1,2,"yes","no","no","yes","yes","yes","no",4,3,2,2,3,3,2,"yes",8,10,10,11,2.5,TRUE,FALSE
"4",4,4,"GP","F",15,"U","GT3","T",4,2,"health","services","home","mother",1,3,"no","yes","yes","yes","yes","yes","yes",3,2,2,1,1,5,0,"yes",1,14,14,14,1,FALSE,FALSE
"5",5,5,"GP","F",16,"U","GT3","T",3,3,"other","other","home","father",1,2,"no","yes","no","yes","yes","no","no",4,3,2,1,2,5,0,"yes",2,8,12,12,1.5,FALSE,FALSE
"6",6,6,"GP","M",16,"U","LE3","T",4,3,"services","other","reputation","mother",1,2,"no","yes","yes","yes","yes","yes","no",5,4,2,1,2,5,0,"yes",8,14,14,14,1.5,FALSE,FALSE
"7",7,7,"GP","M",16,"U","LE3","T",2,2,"other","other","home","mother",1,2,"no","no","no","yes","yes","yes","no",4,4,4,1,1,3,0,"no",0,12,12,12,1,FALSE,FALSE
"8",8,8,"GP","F",17,"U","GT3","A",4,4,"other","teacher","home","mother",2,2,"yes","yes","no","yes","yes","no","no",4,1,4,1,1,1,0,"no",4,8,9,10,1,FALSE,FALSE
"9",9,9,"GP","M",15,"U","LE3","A",3,2,"services","other","home","mother",1,2,"no","yes","no","yes","yes","yes","no",4,2,2,1,1,1,0,"yes",0,16,17,18,1,FALSE,FALSE
"10",10,10,"GP","M",15,"U","GT3","T",3,4,"other","other","home","mother",1,2,"no","yes","yes","yes","yes","yes","no",5,5,1,1,1,5,0,"yes",0,13,14,14,1,FALSE,FALSE
"11",11,11,"GP","F",15,"U","GT3","T",4,4,"teacher","health","reputation","mother",1,2,"no","yes","no","yes","yes","yes","no",3,3,3,1,2,2,0,"yes",1,12,11,12,1.5,FALSE,FALSE
"12",12,12,"GP","F",15,"U","GT3","T",2,1,"services","other","reputation","father",3,3,"no","yes","yes","yes","yes","yes","no",5,2,2,1,1,4,0,"no",2,10,12,12,1,FALSE,FALSE
"13",13,13,"GP","M",15,"U","LE3","T",4,4,"health","services","course","father",1,1,"no","yes","yes","yes","yes","yes","no",4,3,3,1,3,5,0,"yes",1,13,14,13,2,FALSE,FALSE
"14",14,14,"GP","M",15,"U","GT3","T",4,3,"teacher","other","course","mother",2,2,"no","yes","no","yes","yes","yes","no",5,4,3,1,2,3,0,"yes",1,11,11,12,1.5,FALSE,FALSE
